Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Lahore,PM2.5 - Principal,2022-01-01 01:00 AM,2022,01,01,01,468.2,479,Hazardous,501.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,492.1,495,Hazardous,516.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,483.1,489,Hazardous,474.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,483.1,489,Hazardous,483.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,474.5,483,Hazardous,466.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,427.6,452,Hazardous,369.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,402.3,435,Hazardous,337.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,383.4,423,Hazardous,348.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,390.3,427,Hazardous,403.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,441.0,461,Hazardous,531.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,492.2,495,Hazardous,563.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,368.0,413,Hazardous,226.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,239.4,289,Very Unhealthy,111.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,191.6,242,Very Unhealthy,144.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,142.7,196,Unhealthy,94.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,111.8,180,Unhealthy,81.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,108.3,178,Unhealthy,105.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,139.6,194,Unhealthy,171.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,169.3,220,Very Unhealthy,199.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,203.6,254,Very Unhealthy,238.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,247.3,297,Very Unhealthy,291.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,276.6,327,Hazardous,306.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,309.2,359,Hazardous,342.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,336.6,386,Hazardous,364.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 01:00 AM,2022,01,02,01,366.8,412,Hazardous,397.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 02:00 AM,2022,01,02,02,387.9,426,Hazardous,409.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 03:00 AM,2022,01,02,03,414.0,443,Hazardous,440.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 04:00 AM,2022,01,02,04,428.5,453,Hazardous,443.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 05:00 AM,2022,01,02,05,441.8,461,Hazardous,455.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 06:00 AM,2022,01,02,06,449.9,467,Hazardous,458.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 07:00 AM,2022,01,02,07,451.9,468,Hazardous,455.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 08:00 AM,2022,01,02,08,451.1,467,Hazardous,459.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 09:00 AM,2022,01,02,09,457.4,472,Hazardous,470.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 10:00 AM,2022,01,02,10,442.8,462,Hazardous,415.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 11:00 AM,2022,01,02,11,367.5,412,Hazardous,269.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 12:00 PM,2022,01,02,12,279.4,330,Hazardous,205.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 01:00 PM,2022,01,02,13,219.7,270,Very Unhealthy,160.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 02:00 PM,2022,01,02,14,185.3,235,Very Unhealthy,151.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 03:00 PM,2022,01,02,15,169.6,220,Very Unhealthy,154.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 04:00 PM,2022,01,02,16,144.2,197,Unhealthy,119.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 05:00 PM,2022,01,02,17,136.0,193,Unhealthy,128.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 06:00 PM,2022,01,02,18,137.0,193,Unhealthy,138.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 07:00 PM,2022,01,02,19,153.9,204,Very Unhealthy,171.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 08:00 PM,2022,01,02,20,196.9,247,Very Unhealthy,240.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 09:00 PM,2022,01,02,21,235.9,286,Very Unhealthy,275.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 10:00 PM,2022,01,02,22,265.9,316,Hazardous,296.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-02 11:00 PM,2022,01,02,23,307.9,358,Hazardous,350.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 12:00 AM,2022,01,03,00,345.5,395,Hazardous,383.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 01:00 AM,2022,01,03,01,387.7,426,Hazardous,430.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 02:00 AM,2022,01,03,02,428.4,452,Hazardous,469.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 03:00 AM,2022,01,03,03,431.7,455,Hazardous,435.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 04:00 AM,2022,01,03,04,376.9,418,Hazardous,322.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 05:00 AM,2022,01,03,05,331.9,382,Hazardous,287.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 06:00 AM,2022,01,03,06,316.0,366,Hazardous,300.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 07:00 AM,2022,01,03,07,319.0,369,Hazardous,321.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 08:00 AM,2022,01,03,08,324.0,374,Hazardous,325.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 09:00 AM,2022,01,03,09,284.6,335,Hazardous,244.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 10:00 AM,2022,01,03,10,247.9,298,Very Unhealthy,213.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 11:00 AM,2022,01,03,11,235.9,286,Very Unhealthy,224.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 12:00 PM,2022,01,03,12,199.9,250,Very Unhealthy,164.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 01:00 PM,2022,01,03,13,204.4,254,Very Unhealthy,209.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 02:00 PM,2022,01,03,14,171.6,222,Very Unhealthy,139.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 03:00 PM,2022,01,03,15,142.8,196,Unhealthy,114.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 04:00 PM,2022,01,03,16,131.3,190,Unhealthy,120.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 05:00 PM,2022,01,03,17,121.6,185,Unhealthy,112.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 06:00 PM,2022,01,03,18,132.3,191,Unhealthy,143.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 07:00 PM,2022,01,03,19,188.6,239,Very Unhealthy,245.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 08:00 PM,2022,01,03,20,181.3,232,Very Unhealthy,174.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 09:00 PM,2022,01,03,21,189.6,240,Very Unhealthy,198.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 10:00 PM,2022,01,03,22,193.3,243,Very Unhealthy,197.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-03 11:00 PM,2022,01,03,23,166.1,216,Very Unhealthy,139.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 12:00 AM,2022,01,04,00,151.0,201,Very Unhealthy,136.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 01:00 AM,2022,01,04,01,165.0,215,Very Unhealthy,179.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 02:00 AM,2022,01,04,02,153.5,204,Very Unhealthy,142.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 03:00 AM,2022,01,04,03,138.7,194,Unhealthy,124.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 04:00 AM,2022,01,04,04,124.8,187,Unhealthy,111.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 05:00 AM,2022,01,04,05,130.4,190,Unhealthy,136.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 06:00 AM,2022,01,04,06,129.7,189,Unhealthy,129.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 07:00 AM,2022,01,04,07,128.8,189,Unhealthy,127.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 08:00 AM,2022,01,04,08,136.8,193,Unhealthy,147.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 09:00 AM,2022,01,04,09,151.2,202,Very Unhealthy,170.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 10:00 AM,2022,01,04,10,167.4,218,Very Unhealthy,191.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 11:00 AM,2022,01,04,11,163.1,213,Very Unhealthy,157.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 12:00 PM,2022,01,04,12,165.1,215,Very Unhealthy,168.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 01:00 PM,2022,01,04,13,132.9,191,Unhealthy,98.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 02:00 PM,2022,01,04,14,102.5,175,Unhealthy,73.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 03:00 PM,2022,01,04,15,92.2,170,Unhealthy,82.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 04:00 PM,2022,01,04,16,78.1,163,Unhealthy,64.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 05:00 PM,2022,01,04,17,67.5,157,Unhealthy,57.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 06:00 PM,2022,01,04,18,57.7,152,Unhealthy,48.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 07:00 PM,2022,01,04,19,64.3,156,Unhealthy,71.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 08:00 PM,2022,01,04,20,79.1,163,Unhealthy,94.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 09:00 PM,2022,01,04,21,101.5,175,Unhealthy,124.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 10:00 PM,2022,01,04,22,236.3,286,Very Unhealthy,371.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-04 11:00 PM,2022,01,04,23,182.6,233,Very Unhealthy,129.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 12:00 AM,2022,01,05,00,139.8,195,Unhealthy,97.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 01:00 AM,2022,01,05,01,116.4,182,Unhealthy,93.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 02:00 AM,2022,01,05,02,109.7,179,Unhealthy,103.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 03:00 AM,2022,01,05,03,127.8,188,Unhealthy,146.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 04:00 AM,2022,01,05,04,130.4,190,Unhealthy,133.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 05:00 AM,2022,01,05,05,120.2,184,Unhealthy,110.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 06:00 AM,2022,01,05,06,99.1,174,Unhealthy,78.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 07:00 AM,2022,01,05,07,83.0,165,Unhealthy,67.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 08:00 AM,2022,01,05,08,75.0,161,Unhealthy,67.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 09:00 AM,2022,01,05,09,74.5,161,Unhealthy,74.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 10:00 AM,2022,01,05,10,88.2,168,Unhealthy,102.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 11:00 AM,2022,01,05,11,105.6,177,Unhealthy,123.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 12:00 PM,2022,01,05,12,109.3,179,Unhealthy,113.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 01:00 PM,2022,01,05,13,105.1,177,Unhealthy,101.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 02:00 PM,2022,01,05,14,121.0,185,Unhealthy,137.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 03:00 PM,2022,01,05,15,117.0,183,Unhealthy,113.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 04:00 PM,2022,01,05,16,107.0,178,Unhealthy,97.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 05:00 PM,2022,01,05,17,94.5,171,Unhealthy,82.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 06:00 PM,2022,01,05,18,83.7,166,Unhealthy,73.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 07:00 PM,2022,01,05,19,78.3,163,Unhealthy,73.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 08:00 PM,2022,01,05,20,76.8,162,Unhealthy,74.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 09:00 PM,2022,01,05,21,68.5,158,Unhealthy,61.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 10:00 PM,2022,01,05,22,66.7,157,Unhealthy,65.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-05 11:00 PM,2022,01,05,23,80.8,164,Unhealthy,95.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 12:00 AM,2022,01,06,00,88.9,168,Unhealthy,97.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 01:00 AM,2022,01,06,01,89.9,169,Unhealthy,91.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 02:00 AM,2022,01,06,02,85.4,166,Unhealthy,81.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 03:00 AM,2022,01,06,03,86.5,167,Unhealthy,89.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 04:00 AM,2022,01,06,04,89.2,168,Unhealthy,94.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 05:00 AM,2022,01,06,05,91.8,170,Unhealthy,96.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 06:00 AM,2022,01,06,06,99.8,174,Unhealthy,109.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 07:00 AM,2022,01,06,07,106.7,177,Unhealthy,114.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 08:00 AM,2022,01,06,08,116.7,183,Unhealthy,126.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 09:00 AM,2022,01,06,09,129.9,189,Unhealthy,143.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 10:00 AM,2022,01,06,10,137.6,193,Unhealthy,149.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 11:00 AM,2022,01,06,11,140.5,195,Unhealthy,144.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 12:00 PM,2022,01,06,12,136.2,193,Unhealthy,131.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 01:00 PM,2022,01,06,13,137.0,193,Unhealthy,138.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 02:00 PM,2022,01,06,14,137.6,193,Unhealthy,139.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 03:00 PM,2022,01,06,15,139.4,194,Unhealthy,143.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 04:00 PM,2022,01,06,16,136.7,193,Unhealthy,132.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 05:00 PM,2022,01,06,17,131.4,190,Unhealthy,117.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 06:00 PM,2022,01,06,18,132.1,191,Unhealthy,132.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 07:00 PM,2022,01,06,19,150.1,200,Unhealthy,184.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 08:00 PM,2022,01,06,20,171.5,222,Very Unhealthy,199.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 09:00 PM,2022,01,06,21,179.2,229,Very Unhealthy,190.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 10:00 PM,2022,01,06,22,181.2,231,Very Unhealthy,184.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-06 11:00 PM,2022,01,06,23,184.4,235,Very Unhealthy,189.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 12:00 AM,2022,01,07,00,172.3,223,Very Unhealthy,155.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 01:00 AM,2022,01,07,01,168.0,218,Very Unhealthy,162.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 02:00 AM,2022,01,07,02,163.1,213,Very Unhealthy,156.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 03:00 AM,2022,01,07,03,149.4,199,Unhealthy,130.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 04:00 AM,2022,01,07,04,148.4,199,Unhealthy,147.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 05:00 AM,2022,01,07,05,293.1,343,Hazardous,440.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 06:00 AM,2022,01,07,06,360.1,407,Hazardous,427.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 07:00 AM,2022,01,07,07,302.5,353,Hazardous,245.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 08:00 AM,2022,01,07,08,244.7,294,Very Unhealthy,187.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 09:00 AM,2022,01,07,09,217.3,267,Very Unhealthy,190.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 10:00 AM,2022,01,07,10,215.1,265,Very Unhealthy,213.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 11:00 AM,2022,01,07,11,167.0,217,Very Unhealthy,119.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 12:00 PM,2022,01,07,12,147.5,199,Unhealthy,128.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 01:00 PM,2022,01,07,13,131.2,190,Unhealthy,115.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 02:00 PM,2022,01,07,14,118.1,183,Unhealthy,105.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 03:00 PM,2022,01,07,15,121.0,185,Unhealthy,124.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 04:00 PM,2022,01,07,16,122.0,185,Unhealthy,123.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 05:00 PM,2022,01,07,17,118.9,184,Unhealthy,116.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 06:00 PM,2022,01,07,18,106.4,177,Unhealthy,94.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 07:00 PM,2022,01,07,19,102.7,175,Unhealthy,99.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 08:00 PM,2022,01,07,20,102.8,175,Unhealthy,103.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 09:00 PM,2022,01,07,21,85.9,167,Unhealthy,69.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 10:00 PM,2022,01,07,22,78.9,163,Unhealthy,69.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-07 11:00 PM,2022,01,07,23,64.2,155,Unhealthy,51.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 12:00 AM,2022,01,08,00,54.5,148,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 01:00 AM,2022,01,08,01,49.2,135,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 02:00 AM,2022,01,08,02,41.6,116,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 03:00 AM,2022,01,08,03,39.3,110,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 04:00 AM,2022,01,08,04,39.6,111,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 05:00 AM,2022,01,08,05,39.8,112,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 06:00 AM,2022,01,08,06,37.3,105,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 07:00 AM,2022,01,08,07,55.1,149,Unhealthy for Sensitive Groups,73.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 08:00 AM,2022,01,08,08,70.0,158,Unhealthy,85.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 09:00 AM,2022,01,08,09,88.0,168,Unhealthy,106.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 10:00 AM,2022,01,08,10,88.0,168,Unhealthy,88.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 11:00 AM,2022,01,08,11,73.5,160,Unhealthy,59.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 12:00 PM,2022,01,08,12,66.2,157,Unhealthy,59.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 01:00 PM,2022,01,08,13,63.1,155,Unhealthy,60.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 02:00 PM,2022,01,08,14,59.0,153,Unhealthy,55.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 03:00 PM,2022,01,08,15,64.0,155,Unhealthy,69.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 04:00 PM,2022,01,08,16,68.0,157,Unhealthy,72.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 05:00 PM,2022,01,08,17,64.0,155,Unhealthy,60.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 06:00 PM,2022,01,08,18,66.9,157,Unhealthy,70.0,UG/M3,1 Hr,Valid
Lahore,PM2.5 - Principal,2022-01-08 07:00 PM,2022,01,08,19,84.7,166,Unhealthy,104.0,UG/M3,1 Hr,Valid
