date,Month,Houses,road_length,road_count,NTLsum,Populationsum,AQI,,,,,,,,,,,,,,
1,10,15032,350843.501,1608,1238,283844.8952,58.645,,,,,,,,,,,,,,
2,10,15032,350843.501,1608,1238,283844.8952,64.69,,,,,,,,,,,,,,
3,10,15032,350843.501,1608,1238,283844.8952,82.5,,,,,,,,,,,,,,
4,10,15032,350843.501,1608,1238,283844.8952,87.22,,,,,,,,,,,,,,
5,10,15032,350843.501,1608,1238,283844.8952,127.28,,,,,,,,,,,,,,
6,10,15032,350843.501,1608,1238,283844.8952,148.1,,,,,,,,,,,,,,
7,10,15032,350843.501,1608,1238,283844.8952,162.22,,,,,,,,,,,,,,
8,10,15032,350843.501,1608,1238,283844.8952,191.36,,,,,,,,,,,,,,
9,10,15032,350843.501,1608,1238,283844.8952,160.76,,,,,,,,,,,,,,
10,10,15032,350843.501,1608,1238,283844.8952,91.13,,,,,,,,,,,,,,
11,10,15032,350843.501,1608,1238,283844.8952,144.95,,,,,,,,,,,,,,
12,10,15032,350843.501,1608,1238,283844.8952,282.45,,,,,,,,,,,,,,
13,10,15032,350843.501,1608,1238,283844.8952,245.12,,,,,,,,,,,,,,
14,10,15032,350843.501,1608,1238,283844.8952,221.37,,,,,,,,,,,,,,
15,10,15032,350843.501,1608,1238,283844.8952,244.87,,,,,,,,,,,,,,
16,10,15032,350843.501,1608,1238,283844.8952,234.13,,,,,,,,,,,,,,
17,10,15032,350843.501,1608,1238,283844.8952,269.93,,,,,,,,,,,,,,
18,10,15032,350843.501,1608,1238,283844.8952,219.48,,,,,,,,,,,,,,
19,10,15032,350843.501,1608,1238,283844.8952,200.69,,,,,,,,,,,,,,
20,10,15032,350843.501,1608,1238,283844.8952,333.91,,,,,,,,,,,,,,
21,10,15032,350843.501,1608,1238,283844.8952,415.62,,,,,,,,,,,,,,
22,10,15032,350843.501,1608,1238,283844.8952,128.91,,,,,,,,,,,,,,
23,10,15032,350843.501,1608,1238,283844.8952,71.12,,,,,,,,,,,,,,
24,10,15032,350843.501,1608,1238,283844.8952,66.74,,,,,,,,,,,,,,
25,10,15032,350843.501,1608,1238,283844.8952,223.55,,,,,,,,,,,,,,
26,10,15032,350843.501,1608,1238,283844.8952,272,,,,,,,,,,,,,,
27,10,15032,350843.501,1608,1238,283844.8952,420.24,,,,,,,,,,,,,,
28,10,15032,350843.501,1608,1238,283844.8952,368.38,,,,,,,,,,,,,,
29,10,15032,350843.501,1608,1238,283844.8952,477.82,,,,,,,,,,,,,,
30,10,15032,350843.501,1608,1238,283844.8952,319.05,,,,,,,,,,,,,,
31,10,15032,350843.501,1608,1238,283844.8952,300.46,,,,,,,,,,,,,,
1,11,15032,350843.501,1608,1238,283844.8952,572.38,,,,,,,,,,,,,,
2,11,15032,350843.501,1608,1238,283844.8952,136.05,,,,,,,,,,,,,,
3,11,15032,350843.501,1608,1238,283844.8952,260.34,,,,,,,,,,,,,,
4,11,15032,350843.501,1608,1238,283844.8952,457.1,,,,,,,,,,,,,,
5,11,15032,350843.501,1608,1238,283844.8952,519.03,,,,,,,,,,,,,,
6,11,15032,350843.501,1608,1238,283844.8952,447.75,,,,,,,,,,,,,,
7,11,15032,350843.501,1608,1238,283844.8952,496.48,,,,,,,,,,,,,,
8,11,15032,350843.501,1608,1238,283844.8952,530.24,,,,,,,,,,,,,,
9,11,15032,350843.501,1608,1238,283844.8952,512.39,,,,,,,,,,,,,,
10,11,15032,350843.501,1608,1238,283844.8952,665.32,,,,,,,,,,,,,,
11,11,15032,350843.501,1608,1238,283844.8952,611.18,,,,,,,,,,,,,,
12,11,15032,350843.501,1608,1238,283844.8952,539.28,,,,,,,,,,,,,,
13,11,15032,350843.501,1608,1238,283844.8952,412.17,,,,,,,,,,,,,,
14,11,15032,350843.501,1608,1238,283844.8952,481.38,,,,,,,,,,,,,,
15,11,15032,350843.501,1608,1238,283844.8952,482.43,,,,,,,,,,,,,,
16,11,15032,350843.501,1608,1238,283844.8952,420.08,,,,,,,,,,,,,,
17,11,15032,350843.501,1608,1238,283844.8952,490.37,,,,,,,,,,,,,,
18,11,15032,350843.501,1608,1238,283844.8952,605.62,,,,,,,,,,,,,,
19,11,15032,350843.501,1608,1238,283844.8952,649.13,,,,,,,,,,,,,,
20,11,15032,350843.501,1608,1238,283844.8952,551.35,,,,,,,,,,,,,,
21,11,15032,350843.501,1608,1238,283844.8952,371.22,,,,,,,,,,,,,,
22,11,15032,350843.501,1608,1238,283844.8952,388.29,,,,,,,,,,,,,,
23,11,15032,350843.501,1608,1238,283844.8952,472.23,,,,,,,,,,,,,,
24,11,15032,350843.501,1608,1238,283844.8952,364.34,,,,,,,,,,,,,,
25,11,15032,350843.501,1608,1238,283844.8952,627.59,,,,,,,,,,,,,,
26,11,15032,350843.501,1608,1238,283844.8952,636.79,,,,,,,,,,,,,,
27,11,15032,350843.501,1608,1238,283844.8952,475.13,,,,,,,,,,,,,,
28,11,15032,350843.501,1608,1238,283844.8952,527.98,,,,,,,,,,,,,,
29,11,15032,350843.501,1608,1238,283844.8952,583.71,,,,,,,,,,,,,,
30,11,15032,350843.501,1608,1238,283844.8952,551.56,,,,,,,,,,,,,,
1,12,15032,350843.501,1608,1238,283844.8952,558.57,,,,,,,,,,,,,,
2,12,15032,350843.501,1608,1238,283844.8952,482.68,,,,,,,,,,,,,,
3,12,15032,350843.501,1608,1238,283844.8952,552.91,,,,,,,,,,,,,,
4,12,15032,350843.501,1608,1238,283844.8952,459.9,,,,,,,,,,,,,,
5,12,15032,350843.501,1608,1238,283844.8952,442.22,,,,,,,,,,,,,,
6,12,15032,350843.501,1608,1238,283844.8952,356.92,,,,,,,,,,,,,,
7,12,15032,350843.501,1608,1238,283844.8952,583.75,,,,,,,,,,,,,,
8,12,15032,350843.501,1608,1238,283844.8952,610.33,,,,,,,,,,,,,,
9,12,15032,350843.501,1608,1238,283844.8952,744.91,,,,,,,,,,,,,,
10,12,15032,350843.501,1608,1238,283844.8952,399.18,,,,,,,,,,,,,,
11,12,15032,350843.501,1608,1238,283844.8952,558.06,,,,,,,,,,,,,,
12,12,15032,350843.501,1608,1238,283844.8952,663.37,,,,,,,,,,,,,,
13,12,15032,350843.501,1608,1238,283844.8952,717.03,,,,,,,,,,,,,,
14,12,15032,350843.501,1608,1238,283844.8952,682.99,,,,,,,,,,,,,,
15,12,15032,350843.501,1608,1238,283844.8952,624.4,,,,,,,,,,,,,,
16,12,15032,350843.501,1608,1238,283844.8952,477.73,,,,,,,,,,,,,,
17,12,15032,350843.501,1608,1238,283844.8952,468.47,,,,,,,,,,,,,,
18,12,15032,350843.501,1608,1238,283844.8952,440.61,,,,,,,,,,,,,,
19,12,15032,350843.501,1608,1238,283844.8952,703.21,,,,,,,,,,,,,,
20,12,15032,350843.501,1608,1238,283844.8952,688.48,,,,,,,,,,,,,,
21,12,15032,350843.501,1608,1238,283844.8952,785.58,,,,,,,,,,,,,,
22,12,15032,350843.501,1608,1238,283844.8952,818.6,,,,,,,,,,,,,,
23,12,15032,350843.501,1608,1238,283844.8952,723.78,,,,,,,,,,,,,,
24,12,15032,350843.501,1608,1238,283844.8952,743.29,,,,,,,,,,,,,,
25,12,15032,350843.501,1608,1238,283844.8952,727.58,,,,,,,,,,,,,,
26,12,15032,350843.501,1608,1238,283844.8952,675.76,,,,,,,,,,,,,,
27,12,15032,350843.501,1608,1238,283844.8952,464.11,,,,,,,,,,,,,,
28,12,15032,350843.501,1608,1238,283844.8952,299.38,,,,,,,,,,,,,,
29,12,15032,350843.501,1608,1238,283844.8952,468,,,,,,,,,,,,,,
30,12,15032,350843.501,1608,1238,283844.8952,489.94,,,,,,,,,,,,,,
31,12,15032,350843.501,1608,1238,283844.8952,607.04,,,,,,,,,,,,,,
1,10,1492,374097.6201,2060,1191,241286.8163,166.07,,,,,,,,,,,,,,
2,10,1492,374097.6201,2060,1191,241286.8163,83.31,,,,,,,,,,,,,,
3,10,1492,374097.6201,2060,1191,241286.8163,92.18,,,,,,,,,,,,,,
4,10,1492,374097.6201,2060,1191,241286.8163,65.47,,,,,,,,,,,,,,
5,10,1492,374097.6201,2060,1191,241286.8163,107.25,,,,,,,,,,,,,,
6,10,1492,374097.6201,2060,1191,241286.8163,195.23,,,,,,,,,,,,,,
7,10,1492,374097.6201,2060,1191,241286.8163,182.3,,,,,,,,,,,,,,
8,10,1492,374097.6201,2060,1191,241286.8163,178.52,,,,,,,,,,,,,,
9,10,1492,374097.6201,2060,1191,241286.8163,187.37,,,,,,,,,,,,,,
10,10,1492,374097.6201,2060,1191,241286.8163,103.81,,,,,,,,,,,,,,
11,10,1492,374097.6201,2060,1191,241286.8163,126.53,,,,,,,,,,,,,,
12,10,1492,374097.6201,2060,1191,241286.8163,241.05,,,,,,,,,,,,,,
13,10,1492,374097.6201,2060,1191,241286.8163,250.19,,,,,,,,,,,,,,
14,10,1492,374097.6201,2060,1191,241286.8163,294.85,,,,,,,,,,,,,,
15,10,1492,374097.6201,2060,1191,241286.8163,272.88,,,,,,,,,,,,,,
16,10,1492,374097.6201,2060,1191,241286.8163,281.04,,,,,,,,,,,,,,
17,10,1492,374097.6201,2060,1191,241286.8163,363.48,,,,,,,,,,,,,,
18,10,1492,374097.6201,2060,1191,241286.8163,273.45,,,,,,,,,,,,,,
19,10,1492,374097.6201,2060,1191,241286.8163,209.9,,,,,,,,,,,,,,
20,10,1492,374097.6201,2060,1191,241286.8163,272.86,,,,,,,,,,,,,,
21,10,1492,374097.6201,2060,1191,241286.8163,331.65,,,,,,,,,,,,,,
22,10,1492,374097.6201,2060,1191,241286.8163,213.42,,,,,,,,,,,,,,
23,10,1492,374097.6201,2060,1191,241286.8163,82.99,,,,,,,,,,,,,,
24,10,1492,374097.6201,2060,1191,241286.8163,87.01,,,,,,,,,,,,,,
25,10,1492,374097.6201,2060,1191,241286.8163,208.54,,,,,,,,,,,,,,
26,10,1492,374097.6201,2060,1191,241286.8163,313.96,,,,,,,,,,,,,,
27,10,1492,374097.6201,2060,1191,241286.8163,419.46,,,,,,,,,,,,,,
28,10,1492,374097.6201,2060,1191,241286.8163,457.32,,,,,,,,,,,,,,
29,10,1492,374097.6201,2060,1191,241286.8163,461.81,,,,,,,,,,,,,,
30,10,1492,374097.6201,2060,1191,241286.8163,290.99,,,,,,,,,,,,,,
31,10,1492,374097.6201,2060,1191,241286.8163,348.47,,,,,,,,,,,,,,
1,11,1492,374097.6201,2060,1191,241286.8163,604.5,,,,,,,,,,,,,,
