,Area(sq_ft),Bedrooms,Kitchen,YearBuilt,Price
0,8450,3,1,2003,208500
1,9600,3,1,1976,181500
2,11250,3,1,2001,223500
3,9550,3,1,1915,140000
4,14260,4,1,2000,250000
5,14115,1,1,1993,143000
6,10084,3,1,2004,307000
7,10382,3,1,1973,200000
8,6120,2,2,1931,129900
9,7420,2,2,1939,118000
10,11200,3,1,1965,129500
11,11924,4,1,2005,345000
12,12968,2,1,1962,144000
13,10652,3,1,2006,279500
14,10920,2,1,1960,157000
15,6120,2,1,1929,132000
16,11241,2,1,1970,149000
17,10791,2,2,1967,90000
18,13695,3,1,2004,159000
19,7560,3,1,1958,139000
20,14215,4,1,2005,325300
21,7449,3,1,1930,139400
22,9742,3,1,2002,230000
23,4224,3,1,1976,129900
24,8246,3,1,1968,154000
25,14230,3,1,2007,256300
26,7200,3,1,1951,134800
27,11478,3,1,2007,306000
28,16321,2,1,1957,207500
29,6324,1,1,1927,68500
30,8500,3,1,1920,40000
31,8544,3,1,1966,149350
32,11049,3,1,2007,179900
33,10552,4,1,1959,165500
34,7313,2,1,2005,277500
35,13418,4,1,2004,309000
36,10859,3,1,1994,145000
37,8532,3,1,1954,153000
38,7922,3,1,1953,109000
39,6040,2,2,1955,82000
40,8658,3,1,1965,160000
41,16905,2,1,1959,170000
42,9180,2,1,1983,144000
43,9200,3,1,1975,130250
44,7945,3,1,1959,141000
45,7658,2,1,2005,319900
46,12822,1,1,2003,239686
47,11096,3,1,2006,249700
48,4456,2,3,1920,113000
49,7742,3,1,1966,127000
50,13869,3,1,1997,177000
51,6240,3,1,1934,114500
52,8472,2,1,1963,110000
53,50271,0,1,1981,385000
54,7134,3,1,1955,130000
55,10175,3,1,1964,180500
56,2645,3,1,1999,172500
57,11645,3,1,2004,196500
58,13682,3,1,2006,438780
59,7200,2,1,1972,124900
60,13072,3,1,2004,158000
61,7200,3,1,1920,101000
62,6442,2,1,2006,202500
63,10300,3,1,1921,140000
64,9375,3,1,1997,219500
65,9591,4,1,2004,317000
66,19900,3,1,1970,180000
67,10665,3,1,2003,226000
68,4608,2,1,1945,80000
69,15593,3,1,1953,225000
70,13651,3,1,1973,244000
71,7599,2,1,1982,129500
72,10141,3,1,1998,185000
73,10200,3,1,1954,144900
74,5790,3,2,1915,107400
75,1596,2,1,1973,91000
76,8475,2,1,1956,135750
77,8635,2,1,1948,127000
78,10778,4,2,1968,136500
79,10440,2,1,1910,110000
80,13000,4,1,1968,193500
81,4500,2,1,1998,153500
82,10206,3,1,2007,245000
83,8892,3,1,1960,126500
84,8530,3,1,1995,168500
85,16059,4,1,1991,260000
86,11911,3,1,2005,174000
87,3951,2,1,2009,164500
88,8470,2,1,1915,85000
89,8070,3,1,1994,123600
90,7200,2,1,1950,109900
91,8500,2,1,1961,98600
92,13360,2,1,1921,163500
93,7200,4,2,1910,133900
94,9337,3,1,1997,204750
95,9765,3,1,1993,185000
96,10264,3,1,1999,214000
97,10921,3,1,1965,94750
98,10625,2,1,1920,83000
99,9320,3,1,1959,128950
100,10603,3,1,1977,205000
101,9206,3,1,1985,178000
102,7018,4,2,1979,118964
103,10402,3,1,2009,198900
104,7758,4,1,1931,169500
105,9375,3,1,2003,250000
106,10800,2,1,1885,100000
107,6000,2,1,1948,115000
108,8500,3,1,1919,115000
109,11751,3,1,1977,190000
110,9525,4,1,1954,136900
111,7750,3,1,2000,180000
112,9965,4,1,2007,383970
113,21000,3,1,1953,217000
114,7259,3,1,1945,259500
115,3230,2,1,1999,176000
116,11616,3,1,1962,139000
117,8536,2,1,2006,155000
118,12376,5,1,1990,320000
119,8461,3,1,2005,163990
120,21453,1,1,1969,180000
121,6060,3,1,1939,100000
